entry_time,exit_time,entry_price,stop_loss,target_price,exit_price,direction,pnl,exit_reason,killzone_window,bars_held,rr_target
2025-08-18T00:51:00+00:00,2025-08-18T00:55:00+00:00,117331.0,117323.0,117435.0,117320.0,bullish,-10.0,stop_loss,Asia,4,13.0
2025-08-18T08:16:00+00:00,2025-08-18T08:31:00+00:00,115210.5,115113.5,115460.0,115501.0,bullish,247.5,target,London AM,15,2.57
2025-08-20T08:35:00+00:00,2025-08-20T08:37:00+00:00,113867.5,113852.5,113971.0,113854.0,bullish,-17.0,stop_loss,London AM,2,6.9
2025-08-21T00:37:00+00:00,2025-08-21T00:43:00+00:00,114288.5,114249.5,114433.0,114483.0,bullish,142.5,target,Asia,6,3.71
2025-08-23T01:00:00+00:00,2025-08-23T01:01:00+00:00,116915.5,116848.5,117075.0,116830.0,bullish,-69.0,stop_loss,Asia,1,2.38
2025-08-23T08:38:00+00:00,2025-08-23T08:44:00+00:00,115750.0,115734.0,115860.0,115862.0,bullish,108.0,target,London AM,6,6.88
2025-08-24T00:05:00+00:00,2025-08-24T00:06:00+00:00,115400.0,115368.0,115470.0,115361.0,bullish,-34.0,stop_loss,Asia,1,2.19
2025-08-24T08:13:00+00:00,2025-08-24T08:16:00+00:00,114923.5,114886.5,115022.0,114885.0,bullish,-39.0,stop_loss,London AM,3,2.66
2025-08-25T08:50:00+00:00,2025-08-25T08:53:00+00:00,111617.0,111593.0,111708.0,111683.0,bullish,89.0,target,London AM,3,3.79
2025-08-25T14:21:00+00:00,2025-08-25T14:24:00+00:00,111971.0,111937.0,112235.0,112241.0,bullish,262.0,target,NY AM,3,7.76
2025-08-26T08:19:00+00:00,2025-08-26T08:20:00+00:00,110310.5,110291.5,110491.0,110219.0,bullish,-21.0,stop_loss,London AM,1,9.5
2025-08-26T14:15:00+00:00,2025-08-26T14:22:00+00:00,109968.5,109797.5,110327.0,110432.0,bullish,356.5,target,NY AM,7,2.1
2025-08-27T00:23:00+00:00,2025-08-27T00:26:00+00:00,111765.5,111748.5,111834.0,111755.0,bullish,-19.0,stop_loss,Asia,3,4.03
2025-08-27T14:15:00+00:00,2025-08-27T14:16:00+00:00,111615.5,111574.5,111765.0,111699.0,bullish,147.5,target,NY AM,1,3.65
2025-08-28T00:19:00+00:00,2025-08-28T00:21:00+00:00,111406.0,111320.0,111670.0,111306.0,bullish,-88.0,stop_loss,Asia,2,3.07
2025-08-29T00:37:00+00:00,2025-08-29T00:40:00+00:00,112421.5,112370.5,112570.0,112357.0,bullish,-53.0,stop_loss,Asia,3,2.91
2025-08-29T14:22:00+00:00,2025-08-29T14:26:00+00:00,108789.5,108598.5,109488.0,108352.0,bullish,-193.0,stop_loss,NY AM,4,3.66
2025-08-30T08:40:00+00:00,2025-08-30T08:46:00+00:00,108609.0,108589.0,108652.0,108565.0,bullish,-22.0,stop_loss,London AM,6,2.15
2025-08-30T14:02:00+00:00,2025-08-30T14:03:00+00:00,108550.5,108511.5,108649.0,108482.0,bullish,-41.0,stop_loss,NY AM,1,2.53
