entry_time,exit_time,direction,entry_price,exit_price,pnl,bars_held,split
2025-10-12 21:45:00+00:00,2025-10-13 04:30:00+00:00,long,114725.0,114761.92222959128,-7.782123152351881,26,train
2025-10-13 04:30:00+00:00,2025-10-13 11:00:00+00:00,long,114775.0,114734.11903618409,-15.563552333400665,25,train
2025-10-13 20:00:00+00:00,2025-10-14 00:45:00+00:00,long,115923.0,115232.14090427101,-80.64366661811208,18,train
2025-10-14 00:45:00+00:00,2025-10-14 01:30:00+00:00,long,115278.0,114677.28988583502,-71.56877591078938,2,train
2025-10-14 01:30:00+00:00,2025-10-14 02:30:00+00:00,long,114678.0,113992.18880848067,-80.01462859235698,3,train
2025-10-14 02:30:00+00:00,2025-10-14 03:15:00+00:00,long,114130.0,113462.35461103171,-78.14415662738048,2,train
2025-10-19 03:00:00+00:00,2025-10-19 06:00:00+00:00,long,106889.0,106927.29906894304,-6.860908059142711,11,train
2025-10-19 06:00:00+00:00,2025-10-19 08:30:00+00:00,long,106935.0,106542.27106047631,-49.946757505392576,9,train
2025-10-19 11:15:00+00:00,2025-10-19 21:15:00+00:00,long,108147.0,108737.66429186144,48.222195971550725,39,train
2025-10-19 21:15:00+00:00,2025-10-19 23:30:00+00:00,long,108828.0,108785.48643127621,-15.132031193943066,8,train
2025-10-19 23:30:00+00:00,2025-10-20 00:00:00+00:00,long,108830.0,108233.79398207818,-70.47379149128633,1,train
2025-10-20 00:00:00+00:00,2025-10-20 00:15:00+00:00,long,108697.0,108075.76081320539,-72.96255672012163,0,train
2025-10-20 00:15:00+00:00,2025-10-20 16:30:00+00:00,long,108107.0,110626.93551018549,241.05685424303965,64,train
2025-10-20 16:30:00+00:00,2025-10-20 17:30:00+00:00,long,111029.0,109979.91017626786,-115.9594278820272,3,train
2025-10-21 15:00:00+00:00,2025-10-21 18:30:00+00:00,long,112253.0,111878.90931928036,-48.615663537928455,13,train
2025-10-21 18:30:00+00:00,2025-10-21 21:15:00+00:00,long,111926.0,110820.53703426571,-121.68362342514213,10,train
2025-10-21 21:15:00+00:00,2025-10-21 22:15:00+00:00,long,111188.0,109943.00576853714,-135.55597343471257,3,train
2025-10-21 22:15:00+00:00,2025-10-21 22:45:00+00:00,long,110505.0,109115.97777294202,-149.88327159444546,1,train
2025-10-21 22:45:00+00:00,2025-10-22 07:00:00+00:00,long,109205.0,107952.14786585786,-136.14307080750729,32,train
2025-10-23 19:30:00+00:00,2025-10-24 08:15:00+00:00,long,110593.0,110961.92917047019,25.815170588495494,50,train
